id,created_time,original_message,Date,Time,Affected Area(s)
8.289758636436141e+32,2025-12-10 10:31:35+00:00,"⚡ POWER INTERRUPTION
Date: December 12, 2025
Time: 1:00 PM – 5:00 PM
Area: Borongan
Reason: Line maintenance","December 12, 2025",1:00 PM - 5:00 PM,Borongan
8.289758636436141e+32,2025-12-10 12:02:12+00:00,"⚡ POWER INTERRUPTION ALERT ⚡
Date: December 12, 2025
Time: 1:00 PM – 5:00 PM
Area: San Isidro
Reason: Line maintenance","December 12, 2025",1:00 PM - 5:00 PM,San Isidro
8.289758636436141e+32,2025-12-11 02:59:20+00:00,"⚡ POWER INTERRUPTION ALERT ⚡
Date: December 13, 2025
Time: 1:00 AM – 11:00 AM
Area: San Julian
Reason: Line Clear maintenance","December 13, 2025",1:00 AM - 11:00 AM,San Julian
8.289758636436141e+32,2026-01-04 10:50:50+00:00,"⚡ POWER INTERRUPTION
Date: December 12, 2025
Time: 1:00 PM – 5:00 PM
Area: Borongan
Reason: Line maintenance","December 12, 2025",1:00 PM - 5:00 PM,Borongan
8.289758636436141e+32,2026-01-07 02:11:17+00:00,"ESAMELCO EMERGENCY POWER INTERRUPTION!!📢
WHEN: 
🗓JANUARY 7, 2026 - TODAY
🕛10:30 AM - 12:00 NN - ESSU Compound
🕛10:00 AM - 3:00 PM - Brgy. 2, Balangkayan
ACTIVITIES:
✅Removal of old wood pole and distribution transformer at the ESSU Main compound as requested by ESSU Management.
✅Vegetation line clearing of primary and secondary line as requested by the Balangkayan LGU.
AFFECTED AREAS:
📍ESSU Main Campus, Brgy. Maypangdan, Borongan City
📍Brgy. 2, Balangakayan, Eastern Samar
PAHINUMDUM:
Ine nga trabahuon in pwede matapos hin temprano ngan pwede maibalik iton kuryente antis pa iton iya naka-schedule nga oras. Sanglit, para maiwasan iton disgrasya, itrato nga pirme mayda kuryente an mga linya! Damo nga salamat!","JANUARY 7, 2026 - TODAY","10:30 AM - 12:00 NN, 10:00 AM - 3:00 PM",Essu Main Campus
8.289758636436141e+32,2026-01-07 02:11:17+00:00,"ESAMELCO EMERGENCY POWER INTERRUPTION!!📢
WHEN: 
🗓JANUARY 7, 2026 - TODAY
🕛10:30 AM - 12:00 NN - ESSU Compound
🕛10:00 AM - 3:00 PM - Brgy. 2, Balangkayan
ACTIVITIES:
✅Removal of old wood pole and distribution transformer at the ESSU Main compound as requested by ESSU Management.
✅Vegetation line clearing of primary and secondary line as requested by the Balangkayan LGU.
AFFECTED AREAS:
📍ESSU Main Campus, Brgy. Maypangdan, Borongan City
📍Brgy. 2, Balangakayan, Eastern Samar
PAHINUMDUM:
Ine nga trabahuon in pwede matapos hin temprano ngan pwede maibalik iton kuryente antis pa iton iya naka-schedule nga oras. Sanglit, para maiwasan iton disgrasya, itrato nga pirme mayda kuryente an mga linya! Damo nga salamat!","JANUARY 7, 2026 - TODAY","10:30 AM - 12:00 NN, 10:00 AM - 3:00 PM",Barangay Maypangdan
8.289758636436141e+32,2026-01-07 02:11:17+00:00,"ESAMELCO EMERGENCY POWER INTERRUPTION!!📢
WHEN: 
🗓JANUARY 7, 2026 - TODAY
🕛10:30 AM - 12:00 NN - ESSU Compound
🕛10:00 AM - 3:00 PM - Brgy. 2, Balangkayan
ACTIVITIES:
✅Removal of old wood pole and distribution transformer at the ESSU Main compound as requested by ESSU Management.
✅Vegetation line clearing of primary and secondary line as requested by the Balangkayan LGU.
AFFECTED AREAS:
📍ESSU Main Campus, Brgy. Maypangdan, Borongan City
📍Brgy. 2, Balangakayan, Eastern Samar
PAHINUMDUM:
Ine nga trabahuon in pwede matapos hin temprano ngan pwede maibalik iton kuryente antis pa iton iya naka-schedule nga oras. Sanglit, para maiwasan iton disgrasya, itrato nga pirme mayda kuryente an mga linya! Damo nga salamat!","JANUARY 7, 2026 - TODAY","10:30 AM - 12:00 NN, 10:00 AM - 3:00 PM",Borongan City
8.289758636436141e+32,2026-01-07 02:11:17+00:00,"ESAMELCO EMERGENCY POWER INTERRUPTION!!📢
WHEN: 
🗓JANUARY 7, 2026 - TODAY
🕛10:30 AM - 12:00 NN - ESSU Compound
🕛10:00 AM - 3:00 PM - Brgy. 2, Balangkayan
ACTIVITIES:
✅Removal of old wood pole and distribution transformer at the ESSU Main compound as requested by ESSU Management.
✅Vegetation line clearing of primary and secondary line as requested by the Balangkayan LGU.
AFFECTED AREAS:
📍ESSU Main Campus, Brgy. Maypangdan, Borongan City
📍Brgy. 2, Balangakayan, Eastern Samar
PAHINUMDUM:
Ine nga trabahuon in pwede matapos hin temprano ngan pwede maibalik iton kuryente antis pa iton iya naka-schedule nga oras. Sanglit, para maiwasan iton disgrasya, itrato nga pirme mayda kuryente an mga linya! Damo nga salamat!","JANUARY 7, 2026 - TODAY","10:30 AM - 12:00 NN, 10:00 AM - 3:00 PM",Barangay 2
8.289758636436141e+32,2026-01-07 02:11:17+00:00,"ESAMELCO EMERGENCY POWER INTERRUPTION!!📢
WHEN: 
🗓JANUARY 7, 2026 - TODAY
🕛10:30 AM - 12:00 NN - ESSU Compound
🕛10:00 AM - 3:00 PM - Brgy. 2, Balangkayan
ACTIVITIES:
✅Removal of old wood pole and distribution transformer at the ESSU Main compound as requested by ESSU Management.
✅Vegetation line clearing of primary and secondary line as requested by the Balangkayan LGU.
AFFECTED AREAS:
📍ESSU Main Campus, Brgy. Maypangdan, Borongan City
📍Brgy. 2, Balangakayan, Eastern Samar
PAHINUMDUM:
Ine nga trabahuon in pwede matapos hin temprano ngan pwede maibalik iton kuryente antis pa iton iya naka-schedule nga oras. Sanglit, para maiwasan iton disgrasya, itrato nga pirme mayda kuryente an mga linya! Damo nga salamat!","JANUARY 7, 2026 - TODAY","10:30 AM - 12:00 NN, 10:00 AM - 3:00 PM",Balangakayan
8.289758636436141e+32,2026-01-07 02:11:17+00:00,"ESAMELCO EMERGENCY POWER INTERRUPTION!!📢
WHEN: 
🗓JANUARY 7, 2026 - TODAY
🕛10:30 AM - 12:00 NN - ESSU Compound
🕛10:00 AM - 3:00 PM - Brgy. 2, Balangkayan
ACTIVITIES:
✅Removal of old wood pole and distribution transformer at the ESSU Main compound as requested by ESSU Management.
✅Vegetation line clearing of primary and secondary line as requested by the Balangkayan LGU.
AFFECTED AREAS:
📍ESSU Main Campus, Brgy. Maypangdan, Borongan City
📍Brgy. 2, Balangakayan, Eastern Samar
PAHINUMDUM:
Ine nga trabahuon in pwede matapos hin temprano ngan pwede maibalik iton kuryente antis pa iton iya naka-schedule nga oras. Sanglit, para maiwasan iton disgrasya, itrato nga pirme mayda kuryente an mga linya! Damo nga salamat!","JANUARY 7, 2026 - TODAY","10:30 AM - 12:00 NN, 10:00 AM - 3:00 PM",Eastern Samar
8.289758636436141e+32,2026-01-07 10:01:58+00:00,"Power Update 
Emergency power interruption today December 19, 2025 from 9am to 4pm.
Activity: Remove guy wire & tap guy in Brgy. 03, San Policarpo 
( Requested by Municipal Vice Mayor Nicart) 
Affected Area/s: San Policarpo Poblacion ( Brgy. 01- 05) 
We're sorry for the inconvenience. We are working as quickly and safely as possible to get lights back on. 
Esamelco Burak contact numbers
0969-4898893- Line Maintenance
0969-4898861- Esamelco Burak Office","Emergency power interruption today December 19, 2025 from 9am to 4pm.",9am to 4pm,San Policarpo Poblacion  Barangay 01 05
8.289758636436141e+32,2026-01-13 11:40:21+00:00,"ESAMELCO SCHEDULED POWER INTERRUPTION!📢
🗓️Nov. 28, 2025 (Friday)
⏱️9:00am - 9:30am 
Cause: 
📌magpuputol hn kahoy nga harani hit primary line 
Affected area/s: 
📌Brgy. San Mateo, San Juan, A-et, and brgy. Mabini Sulat 
Thank you for your patience and understanding.",D POWER INTERRUPTION!📢,9:00am - 9:30am,Barangay San Mateo
